"ID_REGION";"region"
"1";"ALBANIA"
"2";"ALGERIA"
"3";"ARGENTINA"
"4";"ARMENIA"
"5";"AUSTRALIA"
"6";"AUSTRIA"
"7";"AZERBAIJAN"
"8";"BAHRAIN"
"9";"BANGLADESH"
"10";"BELARUS"
"11";"BELGIUM"
"12";"BOLIVIA"
"13";"BOSNIA & HERZEGOVINA"
"14";"BRAZIL"
"15";"BULGARIA"
"16";"CANADA"
"17";"CHILE"
"18";"CHINA MAINLAND"
"19";"COLOMBIA"
"20";"COSTA RICA"
"21";"CROATIA"
"22";"CUBA"
"23";"CYPRUS"
"24";"CZECH REPUBLIC"
"25";"CZECHOSLOVAKIA"
"26";"DENMARK"
"27";"ECUADOR"
"28";"EGYPT"
"29";"EL SALVADOR"
"30";"ENGLAND"
"31";"ESTONIA"
"32";"ETHIOPIA"
"33";"FINLAND"
"34";"FRANCE"
"35";"GERMANY (FED REP GER)"
"36";"GHANA"
"37";"GREECE"
"38";"HONG KONG"
"39";"HUNGARY"
"40";"ICELAND"
"41";"INDIA"
"42";"INDONESIA"
"43";"IRAN"
"44";"IRAQ"
"45";"IRELAND"
"46";"ISRAEL"
"47";"ITALY"
"48";"JAMAICA"
"49";"JAPAN"
"50";"JORDAN"
"51";"KAZAKHSTAN"
"52";"KENYA"
"53";"KOSOVO"
"54";"KUWAIT"
"55";"LATVIA"
"56";"LEBANON"
"57";"LIBYA"
"58";"LITHUANIA"
"59";"MACEDONIA"
"60";"MALAWI"
"61";"MALAYSIA"
"62";"MALTA"
"63";"MAURITIUS"
"64";"MEXICO"
"65";"MOLDOVA"
"66";"MONTENEGRO"
"67";"MOROCCO"
"68";"NEPAL"
"69";"NETHERLANDS"
"70";"NEW ZEALAND"
"71";"NICARAGUA"
"72";"NIGERIA"
"73";"NORTH KOREA"
"74";"NORTH MACEDONIA"
"75";"NORWAY"
"76";"PAKISTAN"
"77";"PARAGUAY"
"78";"PERU"
"79";"PHILIPPINES"
"80";"POLAND"
"81";"PORTUGAL"
"82";"QATAR"
"83";"REPUBLIC OF GEORGIA"
"84";"ROMANIA"
"85";"RUSSIA"
"86";"SAN MARINO"
"87";"SAUDI ARABIA"
"88";"SCOTLAND"
"89";"SERBIA"
"90";"SERBIA & MONTENEGRO"
"91";"SINGAPORE"
"92";"SLOVAKIA"
"93";"SLOVENIA"
"94";"SOUTH AFRICA"
"95";"SOUTH KOREA"
"96";"SPAIN"
"97";"SRI LANKA"
"98";"SWEDEN"
"99";"SWITZERLAND"
"100";"TAIWAN"
"101";"THAILAND"
"102";"TRINIDAD & TOBAGO"
"103";"TUNISIA"
"104";"TURKEY"
"105";"U ARAB EMIRATES"
"106";"UGANDA"
"107";"UKRAINE"
"108";"UNITED KINGDOM"
"109";"URUGUAY"
"110";"USA"
"111";"UZBEKISTAN"
"112";"VENEZUELA"
"113";"VIETNAM"
"114";"WALES"
"115";"YUGOSLAVIA"
