"id";"idioma"
"1";"BULGARIAN"
"2";"CATALAN"
"3";"CHINESE"
"4";"CROATIAN"
"5";"CZECH"
"6";"DANISH"
"7";"DUTCH"
"8";"ENGLISH"
"9";"ESKIMO"
"10";"ESTONIAN"
"11";"FRENCH"
"12";"GERMAN"
"13";"GREEK"
"14";"HUNGARIAN"
"15";"ICELANDIC"
"16";"INDONESIAN"
"17";"ITALIAN"
"18";"JAPANESE"
"19";"KOREAN"
"20";"LITHUANIAN"
"21";"MALAY"
"22";"MULTI-LANGUAGE"
"23";"NORWEGIAN"
"24";"POLISH"
"25";"PORTUGUESE"
"26";"RUMANIAN"
"27";"RUSSIAN"
"28";"SERBIAN"
"29";"SERBO-CROATIAN"
"30";"SLOVAK"
"31";"SLOVENE"
"32";"SLOVENIAN"
"33";"SPANISH"
"34";"SWEDISH"
"35";"THAI"
"36";"TURKISH"
"37";"UKRAINIAN"
